method_label,width,precision_prior,ess
mcmc,10,0.01,12.252533419500896
mcmc,10,0.01,8.039311550661164
mcmc,10,0.01,15.278563218239727
mcmc,10,0.01,1.0423163653124088
mcmc,10,0.01,1.06683936533725
mcmc,10,0.01,2.116449716002075
mcmc,10,0.01,1.4911537039234994
mcmc,10,0.01,1.03227147930084
mcmc,10,0.01,1.181894812708542
mcmc,10,0.01,1.0352645482000171
mcmc,10,0.01,11.615962738765422
mcmc,10,0.01,1.15400363551235
mcmc,10,0.01,2.023800133875175
mcmc,10,0.1,1.1507053542768793
mcmc,10,0.1,1.0829448762254354
mcmc,10,0.1,1.168528952733712
mcmc,10,0.1,1.384088482126695
mcmc,10,0.1,4.363053364959617
mcmc,10,0.1,1.0632347352472897
mcmc,10,0.1,1.4828700663491776
mcmc,10,0.1,3.712340879159585
mcmc,10,0.1,3.2566781321456038
mcmc,10,0.1,1.1401764497597362
mcmc,10,0.1,1.1034974046388413
mcmc,10,0.1,1.0463797000790696
mcmc,10,0.1,1.0318200393490045
mcmc,10,0.1,1.0205165059639816
mcmc,10,0.1,1.0630601183859676
mcmc,10,0.1,1.2134186903745117
mcmc,10,0.1,7.675505537778206
mcmc,10,0.1,1.123851708329219
mcmc,10,0.1,1.0208638003447192
mcmc,10,0.1,1.1145944872136382
mcmc,10,0.1,1.0404452740861174
mcmc,10,0.1,1.135749677128763
mcmc,10,0.1,7.161982824961948
mcmc,10,0.1,1.020031171616393
mcmc,10,0.1,1.0882547595211747
mcmc,10,0.1,16.076176454011254
mcmc,10,0.1,1.0306481081455723
mcmc,10,0.1,7.602546198795352
mcmc,10,0.1,1.0873756261669894
mcmc,10,0.1,1.061093326507061
mcmc,10,0.1,8.496351292459682
mcmc,10,0.1,1.0392834065029237
mcmc,10,0.1,1.0340503305724438
mcmc,10,0.1,1.0229641508256015
mcmc,10,0.1,1.2745992006624445
mcmc,10,0.1,17.07088899223865
mcmc,10,0.1,7.891805962071053
mcmc,10,0.1,1.021942522369744
mcmc,10,0.1,1.133590375636008
mcmc,10,0.1,7.753947119346851
mcmc,10,0.1,1.5567847933456878
mcmc,10,0.1,1.2376171778166134
mcmc,10,0.1,1.5799342179015456
mcmc,10,0.1,1.061410730878391
mcmc,10,0.1,19.203698699651184
mcmc,10,0.1,1.0898602593725375
mcmc,10,0.1,1.2237346339766046
mcmc,10,0.1,1.1007247324939382
mcmc,10,0.1,1.8504718313036725
mcmc,10,0.1,1.0518932023831329
mcmc,10,0.1,1.10475036852014
mcmc,10,0.1,1.3589123044943276
mcmc,10,0.1,9.118405717754312
mcmc,10,0.1,1.1058668111100758
mcmc,10,0.1,1.0853591503378508
mcmc,10,0.1,22.349204270074637
mcmc,10,0.1,1.1356171511711142
mcmc,10,0.1,1.7297545212842065
mcmc,10,0.1,7.2696218195379565
mcmc,10,0.1,1.9551824371717201
mcmc,10,0.1,2.3395064969056056
mcmc,10,0.1,12.110937295497765
mcmc,10,0.1,1.2051603847640955
mcmc,10,0.1,1.0821328510019281
mcmc,10,0.1,1.4200304987492436
mcmc,10,0.1,1.525063986564936
mcmc,10,0.1,1.080110136523421
mcmc,10,0.1,1.088689580541484
mcmc,10,0.1,1.1541851314847662
mcmc,10,0.1,1.1737174559576287
mcmc,10,0.1,1.459322777143059
mcmc,10,0.1,1.0723014272104765
mcmc,10,0.1,1.5024144866192704
mcmc,10,0.1,1.1478631238453325
mcmc,10,0.1,2.1414491365028105
mcmc,10,0.1,1.3732140780715862
mcmc,10,0.1,1.039450478685982
mcmc,10,0.1,1.0442166562991178
mcmc,10,0.1,1.0877604062766517
mcmc,10,0.1,1.027778226013764
mcmc,10,0.1,2.555997697445601
mcmc,10,0.1,1.095477003072014
mcmc,10,0.1,1.0215653550900288
mcmc,10,0.1,1.2897829114470047
mcmc,10,0.1,5.747253016265918
mcmc,10,0.1,2.299487707252958
mcmc,10,0.1,1.02481225791868
mcmc,10,0.1,1.0322389023835845
mcmc,10,0.1,1.0999715258675224
mcmc,10,0.1,3.1452325625971844
mcmc,10,0.1,2.5625488153501776
mcmc,10,0.1,3.1496978516912253
mcmc,10,0.1,2.1497921652577423
mcmc,10,0.1,1.403337348161426
mcmc,10,0.1,1.0550509674109114
mcmc,10,0.1,10.277455663209729
mcmc,10,0.1,5.530675679702428
mcmc,10,0.1,19.476891129727324
mcmc,10,0.1,10.647571040430009
mcmc,10,0.1,1.6344988466008026
mcmc,10,0.1,2.8272500793410344
mcmc,10,0.1,1.2227905642519183
mcmc,10,0.1,1.0143397033313002
mcmc,10,0.1,1.0220801579180594
mcmc,10,0.1,4.505111208645028
mcmc,10,0.1,1.2735188903664378
mcmc,10,0.1,1.0186148179370373
mcmc,10,0.1,1.062049336235289
mcmc,10,0.1,1.0174707431481533
mcmc,10,0.1,1.0292665101697032
mcmc,10,0.1,1.0331702740851794
mcmc,10,0.1,1.771562075491134
mcmc,10,1.0,2.524158092940948
mcmc,10,1.0,1.1904752260498652
mcmc,10,1.0,1.4531845682097588
mcmc,10,1.0,1.1180798914543548
mcmc,10,1.0,1.2742129428116769
mcmc,10,1.0,1.4810619631415098
mcmc,10,1.0,1.183151806852484
mcmc,10,1.0,11.538738903638025
mcmc,10,1.0,2.426739630979204
mcmc,10,1.0,1.2528964968717382
mcmc,10,1.0,1.084255864812613
mcmc,10,1.0,1.7289606246133074
mcmc,10,1.0,1.1056321971610603
mcmc,10,1.0,1.1586707278403436
mcmc,10,1.0,1.7746340868836346
mcmc,10,1.0,1.78086006293329
mcmc,10,1.0,1.1622017054711267
mcmc,10,1.0,1.11939837022107
mcmc,10,1.0,1.161894737647669
mcmc,10,1.0,1.0956767634882039
mcmc,10,1.0,1.8583406181622524
mcmc,10,1.0,1.14397606308387
mcmc,10,1.0,1.4850750280106517
mcmc,10,1.0,1.0729314685648987
mcmc,10,1.0,2.1861055036666492
mcmc,10,1.0,9.418416715681733
mcmc,10,1.0,2.058580535602102
mcmc,10,1.0,1.0520431349439607
mcmc,10,1.0,2.2265070408938525
mcmc,10,1.0,1.0477187630071143
mcmc,10,1.0,1.0729126216147107
