method,width,precision_prior,rhat
mcmc,10,0.1,4.345458030700684
mcmc,10,0.1,2.1576430797576904
mcmc,10,0.1,4.997072219848633
mcmc,10,0.1,1.5482916831970215
mcmc,10,0.1,2.553128719329834
mcmc,10,0.1,4.776087284088135
mcmc,10,0.1,5.12087869644165
mcmc,10,0.1,5.170451641082764
mcmc,10,0.1,6.633040428161621
mcmc,10,0.1,1.6248048543930054
mcmc,10,0.1,3.808393955230713
mcmc,10,0.1,7.578995704650879
mcmc,10,0.1,2.8243441581726074
mcmc,10,0.1,1.9436825513839722
mcmc,10,0.1,1.620033621788025
mcmc,10,0.1,7.756378650665283
mcmc,10,0.1,5.589974880218506
mcmc,10,0.1,3.0813348293304443
mcmc,10,0.1,1.713165283203125
mcmc,10,0.1,1.7049853801727295
mcmc,10,0.1,1.280158281326294
mcmc,10,0.1,2.7698073387145996
mcmc,10,0.1,2.0369341373443604
mcmc,10,0.1,4.687723159790039
mcmc,10,0.1,1.3892250061035156
mcmc,10,0.1,1.4338598251342773
mcmc,10,0.1,1.094685435295105
mcmc,10,0.1,1.0791431665420532
mcmc,10,0.1,1.7514214515686035
mcmc,10,0.1,1.9138301610946655
mcmc,10,0.1,2.32839298248291
mcmc,10,0.1,8.947129249572754
mcmc,10,0.1,6.782924652099609
mcmc,10,0.1,1.6731598377227783
mcmc,10,0.1,2.055685520172119
mcmc,10,0.1,8.213979721069336
mcmc,10,0.1,4.843199253082275
mcmc,10,0.1,8.634864807128906
mcmc,10,0.1,6.870419502258301
mcmc,10,0.1,7.482743263244629
mcmc,10,0.1,1.4922808408737183
mcmc,10,1.0,1.606717586517334
mcmc,10,1.0,2.8046305179595947
mcmc,10,1.0,1.659691333770752
mcmc,10,1.0,4.937466621398926
mcmc,10,1.0,3.4845170974731445
mcmc,10,1.0,1.7693651914596558
mcmc,10,1.0,3.559009075164795
mcmc,10,1.0,1.0509114265441895
mcmc,10,1.0,1.5538243055343628
mcmc,10,1.0,2.8785223960876465
mcmc,10,1.0,4.570373058319092
mcmc,10,1.0,3.509243965148926
mcmc,10,1.0,4.903122425079346
mcmc,10,1.0,2.580068588256836
mcmc,10,1.0,1.699974775314331
mcmc,10,1.0,1.6275649070739746
